"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"77";"«Колледж № 7», Клязьминская улица (77)";"37.52067236";"55.88456731";"Клязьминская улица";"Северный административный округ";"Дмитровский район";"А191; А194; А200; А352; А571; А665";"Колледж № 7";"";"да";"ГУП «Мосгортранс»";"активна";"889076506";"{type=Point, coordinates=[37.52067236, 55.88456731]}";
"78";"«Ин-т Микрохирургии глаза», Коровинское шоссе (78)";"37.53738746";"55.86877206";"Коровинское шоссе";"Северный административный округ";"район Западное Дегунино";"А191; А194; А215К; А591; А656; А672; АТ56";"Ин-т Микрохирургии глаза";"";"да";"ГУП «Мосгортранс»";"активна";"889076507";"{type=Point, coordinates=[37.53738746, 55.86877206]}";
"79";"«Селигерская ул.», Коровинское шоссе (79)";"37.54227253";"55.8664487";"Коровинское шоссе";"Северный административный округ";"район Западное Дегунино";"А194; А591";"Селигерская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076508";"{type=Point, coordinates=[37.54227253, 55.8664487]}";
"80";"«К/т Комсомолец», Дмитровское шоссе (80)";"37.57003659";"55.84090834";"Дмитровское шоссе";"Северный административный округ";"Тимирязевский район";"А114; А194; А215; А466; А677; АМ10";"К/т Комсомолец";"";"да";"ГУП «Мосгортранс»";"активна";"889076509";"{type=Point, coordinates=[37.57003659, 55.84090834]}";
"81";"«Педагогический колледж», Большая Академическая улица (81)";"37.55288338";"55.84201028";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А114; А123; А179; А204; А282; А461; Тб57; А591; А87; АТ19";"Педагогический колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889076510";"{type=Point, coordinates=[37.55288338, 55.84201028]}";
"82";"«Университет Природообустройства», Большая Академическая улица (82)";"37.54470218";"55.83894722";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А114; А179; А204; А282; А461; Тб57; А591; АТ19";"Университет Природообустройства";"";"да";"ГУП «Мосгортранс»";"активна";"889076511";"{type=Point, coordinates=[37.54470218, 55.83894722]}";
"83";"«Роддом № 27», Большая Академическая улица (83)";"37.53038275";"55.8289194";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А204; А282; А461; Тб57; А591; АТ19";"Роддом № 27";"";"да";"ГУП «Мосгортранс»";"активна";"889076512";"{type=Point, coordinates=[37.53038275, 55.8289194]}";
"84";"«Роддом № 27», Большая Академическая улица (84)";"37.53085818";"55.82911305";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А204; А282; А461; Тб57; А591; АТ19";"Роддом № 27";"";"да";"ГУП «Мосгортранс»";"активна";"889076513";"{type=Point, coordinates=[37.53085818, 55.82911305]}";
"85";"«Университет Природообустройства», Большая Академическая улица (85)";"37.54499163";"55.83864991";"Большая Академическая улица";"Северный административный округ";"Тимирязевский район";"А114; А179; А204; А282; А461; Тб57; А591; АТ19";"Университет Природообустройства";"";"да";"ГУП «Мосгортранс»";"активна";"889076514";"{type=Point, coordinates=[37.54499163, 55.83864991]}";
"86";"«Педагогический колледж», Большая Академическая улица (86)";"37.5546848";"55.84225467";"Большая Академическая улица";"Северный административный округ";"Тимирязевский район";"А114; А123; А179; А204; А282; А461; Тб57; А591; А87; АТ19";"Педагогический колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889076515";"{type=Point, coordinates=[37.5546848, 55.84225467]}";
"87";"«Метро Петровско-Разумовская», улица Линии Октябрьской Железной Дороги (87)";"37.5755751";"55.83730911";"улица Линии Октябрьской Железной Дороги";"Северный административный округ";"Тимирязевский район";"А194; А215";"Метро Петровско-Разумовская";"";"да";"ГУП «Мосгортранс»";"активна";"889076516";"{type=Point, coordinates=[37.5755751, 55.83730911]}";
"91";"«Метро Селигерская», Коровинское шоссе (91)";"37.54477895";"55.86556347";"Коровинское шоссе";"Северный административный округ";"Бескудниковский район";"А191; А194; А215К; А591; А656; А672; АТ56";"Метро Селигерская";"";"да";"ГУП «Мосгортранс»";"активна";"889076517";"{type=Point, coordinates=[37.54477895, 55.86556347]}";
